date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-03,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-03,new_noncase,12,11,0,1,5,9,0,0,8,222,33,1,21,42,79
2014-12-03,new_suspected,1,0,0,0,1,3,0,0,2,38,9,0,3,5,14
2014-12-03,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,new_confirmed,1,2,0,0,0,0,0,0,5,93,9,0,1,22,53
2014-12-03,cum_noncase,563,741,40,332,80,1115,87,136,259,7395,832,25,287,961,1937
2014-12-03,cum_suspected,108,113,6,18,22,115,24,111,61,1340,236,15,79,142,290
2014-12-03,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-03,cum_confirmed,260,839,3,562,76,494,86,99,165,6132,916,31,378,865,1358
2014-12-03,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-03,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-03,death_confirmed,79,202,2,228,24,261,26,36,41,1601,188,16,84,174,240
2014-12-03,cfr,30,24,66,40,31,52,30,36,24,26,20,51,22,20,17
2014-12-03,positive_corpse,1,2,0,0,0,0,0,0,0,4,0,0,3,15
2014-12-03,negative_corpse,10,11,0,1,4,9,0,0,8,7,1,17,27,44
2014-12-03,cum_contacts,1803,6303,165,3284,808,3318,255,1139,1661,50256,8129,1222,3107,7003,12059
2014-12-03,cum_completed_contacts,1044,4791,125,2602,672,3038,8,589,1549,29715,1616,1103,2204,4493,5881
2014-12-03,contacts_followed,688,1512,39,682,136,45,247,550,112,18519,6513,119,903,2208,4765
2014-12-03,new_contacts,96,0,0,0,12,0,147,13,22,1363,44,0,0,360,669
2014-12-03,contacts_healthy,681,1512,39,682,136,45,247,528,111,17351,6429,119,903,1847,4072
2014-12-03,contacts_ill,7,0,0,0,0,0,0,22,1,42,9,0,0,1,2
2014-12-03,contacts_not_seen,0,0,0,0,0,0,0,0,0,99,75,0,0,0,24
2014-12-03,new_completed_contacts,44,42,0,18,0,0,0,12,23,330,20,0,25,118,28
2014-12-03,percent_seen,100,98,100,100,100,99,99,98,100,98,98,100,100,98,98
